Geographical area,Industry,Race/ ethinicity,Ethnicity,Year,Employees
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2020,9
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2020,146
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2020,8
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2020,39
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2020,0
"Baltimore, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2020,3143
"Baltimore, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2020,120
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2020,1999
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2020,91
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2020,605
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2020,13
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2020,4126
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2020,194
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2020,2537
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2020,153
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2020,993
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2020,17
"Baltimore, MD",Scientific Research and Development Services,All Races,All Ethnicities,2020,2432
"Baltimore, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2020,143
"Baltimore, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2020,1485
"Baltimore, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2020,115
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2020,549
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2020,13
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2020,612
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2020,23
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2020,427
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2020,15
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2020,156
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2020,4
"Baltimore, MD",Performing Arts Companies,All Races,All Ethnicities,2020,228
"Baltimore, MD",Performing Arts Companies,All Races,Hispanic or Latino,2020,11
"Baltimore, MD",Performing Arts Companies,White Alone,All Ethnicities,2020,178
"Baltimore, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2020,7
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2020,30
"Baltimore, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2020,64
"Baltimore, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2020,51
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2020,9
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2020,0
"Baltimore, MD",All NAICS Sectors,White Alone,All Ethnicities,2020,129947
"Baltimore, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2020,10101
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2020,81771
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2020,1561
"Baltimore, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2021,3496
"Baltimore, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2021,74
"Baltimore, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2021,1989
"Baltimore, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2021,46
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2021,1431
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2021,17
"Baltimore, MD",Warehousing and Storage,All Races,All Ethnicities,2021,916
"Baltimore, MD",Warehousing and Storage,All Races,Hispanic or Latino,2021,43
"Baltimore, MD",Warehousing and Storage,White Alone,All Ethnicities,2021,555
"Baltimore, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2021,33
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2021,313
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2021,5
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2021,345
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2021,11
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2021,252
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2021,10
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2021,80
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2021,197
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2021,10
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2021,152
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2021,9
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2021,20
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2021,0
"Baltimore, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2021,3483
"Baltimore, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2021,245
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2021,2108
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2021,185
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2021,861
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2021,32
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2021,2644
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2021,130
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2021,1756
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2021,103
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2021,634
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2021,14
"Baltimore, MD",Scientific Research and Development Services,All Races,All Ethnicities,2021,2767
"Baltimore, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2021,164
"Baltimore, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2021,1605
"Baltimore, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2021,130
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2021,686
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2021,14
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2021,760
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2021,52
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2021,513
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2021,42
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2021,188
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2021,4
"Baltimore, MD",Performing Arts Companies,All Races,All Ethnicities,2021,410
"Baltimore, MD",Performing Arts Companies,All Races,Hispanic or Latino,2021,22
"Baltimore, MD",Performing Arts Companies,White Alone,All Ethnicities,2021,274
"Baltimore, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2021,14
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2021,96
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2021,3
"Baltimore, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2021,64
"Baltimore, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2021,52
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2021,10
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2021,0
"Baltimore, MD",All NAICS Sectors,All Races,All Ethnicities,2021,229235
"Baltimore, MD",All NAICS Sectors,All Races,Hispanic or Latino,2021,13517
"Baltimore, MD",All NAICS Sectors,White Alone,All Ethnicities,2021,127185
"Baltimore, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2021,10338
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2021,79327
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2021,1530
